Estacao;Data;Hora;PrecipitacaoTotal;
83781;30/11/1975;0000;220.9;
83781;31/12/1975;0000;227.1;
83781;31/01/1976;0000;269.7;
83781;29/02/1976;0000;385.2;
83781;31/03/1976;0000;124.4;
83781;30/04/1976;0000;204.9;
83781;31/05/1976;0000;168.6;
83781;30/06/1976;0000;72.1;
83781;31/07/1976;0000;153.3;
83781;31/08/1976;0000;143.6;
83781;30/09/1976;0000;187.9;
83781;31/10/1976;0000;74.3;
83781;30/11/1976;0000;86.1;
83781;31/12/1976;0000;252.9;
83781;31/01/1977;0000;295.2;
83781;28/02/1977;0000;153.6;
83781;31/03/1977;0000;155.7;
83781;30/04/1977;0000;93.3;
83781;31/05/1977;0000;96.4;
83781;30/06/1977;0000;40.4;
83781;31/07/1977;0000;6.8;
83781;31/08/1977;0000;10.1;
83781;30/09/1977;0000;102.5;
83781;31/10/1977;0000;77.8;
83781;30/11/1977;0000;191.1;
83781;31/12/1977;0000;230.2;
83781;31/01/1978;0000;147.1;
83781;28/02/1978;0000;178.3;
83781;31/03/1978;0000;251.4;
83781;30/04/1978;0000;0;
83781;31/05/1978;0000;105.3;
83781;30/06/1978;0000;69.9;
83781;31/07/1978;0000;61.6;
83781;31/08/1978;0000;4.4;
83781;30/09/1978;0000;41;
83781;31/10/1978;0000;68.2;
83781;30/11/1978;0000;423.7;
83781;31/12/1978;0000;253;
83781;31/01/1979;0000;147.2;
83781;28/02/1979;0000;133.7;
83781;31/03/1979;0000;65.3;
83781;30/04/1979;0000;90.3;
83781;31/05/1979;0000;101;
83781;30/06/1979;0000;4.4;
83781;31/07/1979;0000;42;
83781;31/08/1979;0000;76.6;
83781;30/09/1979;0000;127.6;
83781;31/10/1979;0000;133;
83781;30/11/1979;0000;233.6;
83781;31/12/1979;0000;115.8;
83781;31/01/1980;0000;182.4;
83781;29/02/1980;0000;194.3;
83781;31/03/1980;0000;125.4;
83781;30/04/1980;0000;119.5;
83781;31/05/1980;0000;5.4;
83781;30/06/1980;0000;73.5;
83781;31/07/1980;0000;20;
83781;31/08/1980;0000;26.2;
83781;30/09/1980;0000;55.1;
83781;31/10/1980;0000;70.2;
83781;30/11/1980;0000;151.7;
83781;31/12/1980;0000;289.1;
83781;31/01/1981;0000;208.9;
83781;28/02/1981;0000;225.3;
83781;31/03/1981;0000;148.6;
83781;30/04/1981;0000;40.5;
83781;31/05/1981;0000;32.6;
83781;30/06/1981;0000;65.8;
83781;31/07/1981;0000;51.1;
83781;31/08/1981;0000;14.5;
83781;30/09/1981;0000;8.3;
83781;31/10/1981;0000;198.8;
83781;30/11/1981;0000;165.4;
83781;31/12/1981;0000;120.8;
83781;31/01/1982;0000;217.7;
83781;28/02/1982;0000;275.9;
83781;31/03/1982;0000;143.2;
83781;30/04/1982;0000;35.4;
83781;31/05/1982;0000;45.5;
83781;30/06/1982;0000;161.9;
83781;31/07/1982;0000;41.9;
83781;31/08/1982;0000;72.4;
83781;30/09/1982;0000;9.5;
83781;31/10/1982;0000;197.5;
83781;30/11/1982;0000;173.5;
83781;31/12/1982;0000;269.5;
83781;31/01/1983;0000;239;
83781;31/12/1983;0000;179;
83781;31/01/1984;0000;259.3;
83781;29/02/1984;0000;32.5;
83781;31/03/1984;0000;54;
83781;30/04/1984;0000;96.8;
83781;31/05/1984;0000;113;
83781;30/06/1984;0000;0.1;
83781;31/07/1984;0000;26.7;
83781;31/08/1984;0000;110.6;
83781;30/09/1984;0000;162.5;
83781;31/10/1984;0000;31.1;
83781;30/11/1984;0000;140;
83781;31/12/1984;0000;139.6;
83781;31/01/1985;0000;190.1;
83781;28/02/1985;0000;281.4;
83781;31/03/1985;0000;166.9;
83781;30/04/1985;0000;31.4;
83781;31/05/1985;0000;107.2;
83781;30/06/1985;0000;14.2;
83781;31/07/1985;0000;0.6;
83781;31/08/1985;0000;21.6;
83781;30/09/1985;0000;110.1;
83781;31/10/1985;0000;11.2;
83781;30/11/1985;0000;86;
83781;31/12/1985;0000;176.3;
83781;31/01/1986;0000;250.7;
83781;28/02/1986;0000;268.4;
83781;31/03/1986;0000;230.6;
83781;30/04/1986;0000;84.9;
83781;31/05/1986;0000;84.6;
83781;30/06/1986;0000;2.4;
83781;31/07/1986;0000;28.1;
83781;31/08/1986;0000;97.2;
83781;30/09/1986;0000;34.7;
83781;31/10/1986;0000;43.9;
83781;30/11/1986;0000;155.6;
83781;31/12/1986;0000;383.2;
83781;31/01/1987;0000;442.3;
83781;28/02/1987;0000;177.5;
83781;31/03/1987;0000;178.5;
83781;30/04/1987;0000;91.5;
83781;31/05/1987;0000;241.2;
83781;30/06/1987;0000;195.9;
83781;31/07/1987;0000;10.7;
83781;31/08/1987;0000;17.4;
83781;30/09/1987;0000;59.2;
83781;31/10/1987;0000;89.9;
83781;30/11/1987;0000;96.1;
83781;31/12/1987;0000;146.3;
83781;31/01/1988;0000;293.4;
83781;29/02/1988;0000;284.7;
83781;31/03/1988;0000;203.6;
83781;30/04/1988;0000;173.4;
83781;31/05/1988;0000;210.8;
83781;30/06/1988;0000;58.8;
83781;31/07/1988;0000;2.2;
83781;31/08/1988;0000;2.6;
83781;30/09/1988;0000;34.7;
83781;31/10/1988;0000;170.1;
83781;30/11/1988;0000;85.7;
83781;31/12/1988;0000;279.6;
83781;31/01/1989;0000;359.2;
83781;28/02/1989;0000;326.5;
83781;31/03/1989;0000;185.1;
