Estacao;Data;Hora;PrecipitacaoTotal;
83743;30/11/1975;0000;144.1;
83743;31/12/1975;0000;132.4;
83743;31/01/1976;0000;50.3;
83743;29/02/1976;0000;134.2;
83743;31/03/1976;0000;96.2;
83743;30/04/1976;0000;48.9;
83743;31/05/1976;0000;109.3;
83743;30/06/1976;0000;51.2;
83743;31/07/1976;0000;58.9;
83743;31/08/1976;0000;98;
83743;30/09/1976;0000;58.6;
83743;31/10/1976;0000;136.6;
83743;30/11/1976;0000;92.6;
83743;31/12/1976;0000;163.7;
83743;31/01/1977;0000;81.1;
83743;28/02/1977;0000;0;
83743;31/03/1977;0000;32;
83743;30/04/1977;0000;281.7;
83743;31/05/1977;0000;71.4;
83743;30/06/1977;0000;35.4;
83743;31/07/1977;0000;102.4;
83743;31/08/1977;0000;32.3;
83743;30/09/1977;0000;142.9;
83743;31/10/1977;0000;47.9;
83743;30/11/1977;0000;84.7;
83743;31/12/1977;0000;90.1;
83743;31/01/1978;0000;41.1;
83743;28/02/1978;0000;172.2;
83743;31/03/1978;0000;43;
83743;30/04/1978;0000;63.9;
83743;31/05/1978;0000;58.7;
83743;30/06/1978;0000;30.1;
83743;31/07/1978;0000;14.8;
83743;31/08/1978;0000;30.8;
83743;30/09/1978;0000;17.7;
83743;31/10/1978;0000;50.8;
83743;30/11/1978;0000;95.3;
83743;31/12/1978;0000;76;
83743;31/01/1979;0000;186.3;
83743;28/02/1979;0000;87.3;
83743;31/03/1979;0000;90;
83743;30/04/1979;0000;51.1;
83743;31/05/1979;0000;34.7;
83743;30/06/1979;0000;121.6;
83743;31/07/1979;0000;43.1;
83743;31/08/1979;0000;14;
83743;30/09/1979;0000;30;
83743;31/10/1979;0000;1.4;
83743;30/11/1979;0000;46.4;
83743;31/12/1979;0000;68;
83743;31/01/1980;0000;18.7;
83743;29/02/1980;0000;3;
83743;31/03/1980;0000;4.6;
83743;30/04/1980;0000;3.2;
83743;31/05/1980;0000;0;
83743;30/06/1980;0000;1.2;
83743;31/07/1980;0000;0;
83743;31/08/1980;0000;16.6;
83743;30/09/1980;0000;0;
83743;31/10/1980;0000;0.4;
83743;30/11/1980;0000;4.2;
83743;31/12/1980;0000;23.5;
83743;31/01/1981;0000;0.4;
83743;28/02/1981;0000;17;
83743;31/03/1981;0000;16;
83743;30/04/1981;0000;0.9;
83743;31/05/1981;0000;4.2;
83743;30/06/1981;0000;5.2;
83743;31/07/1981;0000;0;
83743;31/08/1981;0000;0;
83743;30/09/1981;0000;0;
83743;31/10/1981;0000;2.3;
83743;30/11/1981;0000;12.3;
83743;31/12/1981;0000;73.9;
83743;31/01/1982;0000;5;
83743;28/02/1982;0000;17.2;
83743;31/03/1982;0000;2.7;
83743;30/04/1982;0000;13.1;
83743;31/05/1982;0000;2.4;
83743;30/06/1982;0000;6.4;
83743;31/07/1982;0000;0;
83743;31/08/1982;0000;0.7;
83743;30/09/1982;0000;2.4;
83743;31/10/1982;0000;0.2;
83743;30/11/1982;0000;3.3;
83743;31/12/1982;0000;0;
83743;31/01/1983;0000;64.4;
83743;28/02/1983;0000;35.1;
83743;31/03/1983;0000;332.1;
83743;30/04/1983;0000;87.4;
83743;31/05/1983;0000;92.8;
83743;30/06/1983;0000;154.3;
83743;31/07/1983;0000;45.8;
83743;31/08/1983;0000;34.7;
83743;30/09/1983;0000;219.1;
83743;31/10/1983;0000;90.4;
83743;30/11/1983;0000;95.4;
83743;31/12/1983;0000;88.2;
83743;31/01/1984;0000;0;
83743;31/05/2002;0000;99.8;
83743;30/06/2002;0000;63.8;
83743;31/07/2002;0000;21;
83743;31/08/2002;0000;10.6;
83743;30/09/2002;0000;88.8;
83743;31/10/2002;0000;26;
83743;30/11/2002;0000;144.4;
83743;31/12/2002;0000;242.8;
83743;31/01/2003;0000;250.4;
83743;28/02/2003;0000;6.4;
83743;31/03/2003;0000;257.1;
83743;30/04/2003;0000;101.3;
83743;31/05/2003;0000;45.4;
83743;30/06/2003;0000;32.9;
83743;31/07/2003;0000;19.8;
83743;31/08/2003;0000;125.2;
83743;30/09/2003;0000;80.3;
83743;31/10/2003;0000;171.4;
83743;30/11/2003;0000;228.2;
83743;31/12/2003;0000;90.4;
83743;31/01/2004;0000;113.2;
83743;29/02/2004;0000;141.5;
83743;31/03/2004;0000;66.7;
83743;30/04/2004;0000;99.5;
83743;31/05/2004;0000;45.3;
83743;30/06/2004;0000;26.5;
83743;31/07/2004;0000;166.2;
83743;31/08/2004;0000;17.1;
83743;30/09/2004;0000;14.4;
83743;31/10/2004;0000;69.7;
83743;30/11/2004;0000;168.5;
83743;31/12/2004;0000;145;
83743;31/01/2005;0000;180.9;
83743;28/02/2005;0000;177.8;
83743;31/03/2005;0000;141.7;
83743;30/04/2005;0000;109.7;
83743;31/05/2005;0000;83.5;
83743;30/06/2005;0000;45.1;
83743;31/07/2005;0000;80.7;
83743;31/08/2005;0000;5.7;
83743;30/09/2005;0000;129.6;
83743;31/10/2005;0000;129.8;
83743;30/11/2005;0000;150.5;
83743;31/12/2005;0000;183.1;
83743;31/01/2006;0000;225.1;
83743;28/02/2006;0000;133.4;
83743;31/03/2006;0000;56.4;
83743;30/04/2006;0000;94;
83743;31/05/2006;0000;98;
83743;30/06/2006;0000;56.8;
83743;31/07/2006;0000;22.6;
83743;31/08/2006;0000;33.1;
83743;30/09/2006;0000;91.8;
83743;31/10/2006;0000;104.3;
83743;30/11/2006;0000;165.6;
83743;31/12/2006;0000;30.6;
83743;31/01/2007;0000;58;
83743;28/02/2007;0000;90;
83743;31/03/2007;0000;7.6;
83743;30/04/2007;0000;41.2;
83743;31/05/2007;0000;103.6;
83743;30/06/2007;0000;44.3;
83743;31/07/2007;0000;40.5;
83743;31/08/2007;0000;7.2;
83743;30/09/2007;0000;13;
83743;31/10/2007;0000;194.1;
83743;30/11/2007;0000;126.5;
83743;31/12/2007;0000;178.8;
83743;31/01/2008;0000;117.6;
83743;29/02/2008;0000;131.7;
83743;31/03/2008;0000;173.2;
83743;30/04/2008;0000;94.5;
83743;31/05/2008;0000;57;
83743;30/06/2008;0000;50.4;
83743;31/07/2008;0000;43.9;
83743;31/08/2008;0000;51.6;
83743;30/09/2008;0000;86.8;
83743;31/10/2008;0000;72.9;
83743;30/11/2008;0000;197.7;
83743;31/12/2008;0000;130.7;
83743;31/01/2009;0000;211.2;
83743;28/02/2009;0000;76.9;
83743;31/03/2009;0000;114.6;
83743;30/04/2009;0000;97.2;
83743;31/05/2009;0000;51;
83743;30/06/2009;0000;61.4;
83743;31/07/2009;0000;62.5;
83743;31/08/2009;0000;28.9;
83743;30/09/2009;0000;86.9;
83743;31/10/2009;0000;176.7;
83743;30/11/2009;0000;132.1;
83743;31/12/2009;0000;287.5;
83743;31/01/2010;0000;287.5;
83743;28/02/2010;0000;87.3;
83743;31/03/2010;0000;325.7;
83743;30/04/2010;0000;280.4;
83743;31/05/2010;0000;45.3;
83743;30/06/2010;0000;42.7;
83743;31/07/2010;0000;79;
83743;31/08/2010;0000;20.9;
83743;30/09/2010;0000;36.9;
83743;31/10/2010;0000;118.5;
83743;30/11/2010;0000;67.3;
83743;31/12/2010;0000;291.6;
83743;31/01/2011;0000;78.7;
83743;28/02/2011;0000;8.5;
83743;31/03/2011;0000;100.6;
83743;30/04/2011;0000;164.5;
83743;31/05/2011;0000;118.1;
83743;30/06/2011;0000;32.7;
83743;31/07/2011;0000;16.1;
83743;31/08/2011;0000;9.3;
83743;30/09/2011;0000;40.8;
83743;31/10/2011;0000;109.8;
83743;30/11/2011;0000;93.3;
83743;31/12/2011;0000;116.1;

